 (8.51574923222242,0.000000000000000E+000)
 (1.751597016925399E-007,0.000000000000000E+000)
 (3.342360189389586E-007,0.000000000000000E+000)
 (-0.856481720836050,0.000000000000000E+000)
 (-4.994919990805050E-010,0.000000000000000E+000)
 (2.697066420874847E-008,0.000000000000000E+000)
 (-1.59346191711446,0.000000000000000E+000)
 (0.814576688714447,0.000000000000000E+000)
 (1.12027077538137,0.000000000000000E+000)
 (-0.447976072900378,0.000000000000000E+000)
 (-4.244290110130111E-002,0.000000000000000E+000)
 (1.182067245570382E-002,0.000000000000000E+000)
 (-1.76291998861446,0.000000000000000E+000)
 (-0.605953079627758,0.000000000000000E+000)
 (-1.13209161931816,0.000000000000000E+000)
 (-1.59744397064086,0.000000000000000E+000)
 (-0.831381775455776,0.000000000000000E+000)
 (-1.12907160611941,0.000000000000000E+000)
 (-1.80075660889508,0.000000000000000E+000)
 (0.603211165428236,0.000000000000000E+000)
 (1.12905105576801,0.000000000000000E+000)
 (-0.456706293958993,0.000000000000000E+000)
 (6.198878954855295E-002,0.000000000000000E+000)
 (2.036050491078631E-005,0.000000000000000E+000)
 (1.751597007359424E-007,0.000000000000000E+000)
 (8.51574950490420,0.000000000000000E+000)
 (-2.517681904387414E-007,0.000000000000000E+000)
 (1.682403637446137E-008,0.000000000000000E+000)
 (-0.856481710298003,0.000000000000000E+000)
 (-2.110582598923611E-008,0.000000000000000E+000)
 (0.703789482278102,0.000000000000000E+000)
 (-0.942776618242401,0.000000000000000E+000)
 (-0.660437995251637,0.000000000000000E+000)
 (-0.153230095629754,0.000000000000000E+000)
 (-2.08826271091290,0.000000000000000E+000)
 (1.30040219164616,0.000000000000000E+000)
 (-0.716740284683856,0.000000000000000E+000)
 (-0.773318820594791,0.000000000000000E+000)
 (-0.639964034491656,0.000000000000000E+000)
 (-0.720593961672355,0.000000000000000E+000)
 (-0.972494011340146,0.000000000000000E+000)
 (-0.651846253971009,0.000000000000000E+000)
 (0.713998994600177,0.000000000000000E+000)
 (-0.769181196588747,0.000000000000000E+000)
 (-0.651881441284855,0.000000000000000E+000)
 (0.172776611602146,0.000000000000000E+000)
 (-2.11323177753879,0.000000000000000E+000)
 (1.30372780596547,0.000000000000000E+000)
 (3.342360185813530E-007,0.000000000000000E+000)
 (-2.517681911227657E-007,0.000000000000000E+000)
 (8.64888740129507,0.000000000000000E+000)
 (1.627852248352819E-008,0.000000000000000E+000)
 (-1.270623025597603E-008,0.000000000000000E+000)
 (1.58498720301690,0.000000000000000E+000)
 (1.09329418226432,0.000000000000000E+000)
 (-0.673373605638873,0.000000000000000E+000)
 (-1.69315810740119,0.000000000000000E+000)
 (3.651152022428911E-002,0.000000000000000E+000)
 (1.28350755294713,0.000000000000000E+000)
 (-1.69315825679568,0.000000000000000E+000)
 (-1.12980588021920,0.000000000000000E+000)
 (-0.610133802382966,0.000000000000000E+000)
 (-1.69315816219408,0.000000000000000E+000)
 (-1.10149799123126,0.000000000000000E+000)
 (-0.686528162087125,0.000000000000000E+000)
 (-1.71805452600831,0.000000000000000E+000)
 (1.14529969597222,0.000000000000000E+000)
 (-0.610661033806417,0.000000000000000E+000)
 (-1.71805439019422,0.000000000000000E+000)
 (-4.380187764887364E-002,0.000000000000000E+000)
 (1.29718931517902,0.000000000000000E+000)
 (-1.71805445325009,0.000000000000000E+000)
 (-0.856481720836050,0.000000000000000E+000)
 (1.682403751193139E-008,0.000000000000000E+000)
 (1.627852272153199E-008,0.000000000000000E+000)
 (8.51576380701106,0.000000000000000E+000)
 (6.538354153946242E-008,0.000000000000000E+000)
 (8.713038975659178E-008,0.000000000000000E+000)
 (-1.59744779359125,0.000000000000000E+000)
 (-0.831383980876293,0.000000000000000E+000)
 (-1.12907504331641,0.000000000000000E+000)
 (-1.80076005804269,0.000000000000000E+000)
 (0.603213569678149,0.000000000000000E+000)
 (1.12905461081209,0.000000000000000E+000)
 (-0.456706005594721,0.000000000000000E+000)
 (6.198843857869802E-002,0.000000000000000E+000)
 (2.038213210384493E-005,0.000000000000000E+000)
 (-1.59346617244541,0.000000000000000E+000)
 (0.814579077057475,0.000000000000000E+000)
 (1.12027464550451,0.000000000000000E+000)
 (-0.447975775093075,0.000000000000000E+000)
 (-4.244254965158926E-002,0.000000000000000E+000)
 (1.182055695558746E-002,0.000000000000000E+000)
 (-1.76292361961355,0.000000000000000E+000)
 (-0.605955575441662,0.000000000000000E+000)
 (-1.13209525538347,0.000000000000000E+000)
 (-4.994932504088437E-010,0.000000000000000E+000)
 (-0.856481710298003,0.000000000000000E+000)
 (-1.270623037157475E-008,0.000000000000000E+000)
 (6.538353954894511E-008,0.000000000000000E+000)
 (8.51576383190096,0.000000000000000E+000)
 (-4.776240302937550E-009,0.000000000000000E+000)
 (-0.720595989221807,0.000000000000000E+000)
 (-0.972494797420251,0.000000000000000E+000)
 (-0.651848213461973,0.000000000000000E+000)
 (0.714001569052364,0.000000000000000E+000)
 (-0.769182508842075,0.000000000000000E+000)
 (-0.651883566412926,0.000000000000000E+000)
 (0.172776425384697,0.000000000000000E+000)
 (-2.11323669195258,0.000000000000000E+000)
 (1.30373179724047,0.000000000000000E+000)
 (0.703791710612480,0.000000000000000E+000)
 (-0.942777440267977,0.000000000000000E+000)
 (-0.660440044534932,0.000000000000000E+000)
 (-0.153229909394351,0.000000000000000E+000)
 (-2.08826785381549,0.000000000000000E+000)
 (1.30040632933109,0.000000000000000E+000)
 (-0.716742932903050,0.000000000000000E+000)
 (-0.773320166440443,0.000000000000000E+000)
