 (-4.258974839019479E-012,0.000000000000000E+000)
 (-0.235305447527059,0.000000000000000E+000)
 (9.458724384223248E-012,0.000000000000000E+000)
 (3.450547506632063E-003,0.000000000000000E+000)
 (0.235305447527063,0.000000000000000E+000)
 (-4.258928138810423E-012,0.000000000000000E+000)
 (-3.450547493965202E-003,0.000000000000000E+000)
 (-8.664219882681719E-012,0.000000000000000E+000)
 (-7.802539708056732E-012,0.000000000000000E+000)
 (3.450547494637739E-003,0.000000000000000E+000)
 (-4.226914993932837E-012,0.000000000000000E+000)
 (-0.235305562431443,0.000000000000000E+000)
 (-3.450547507304599E-003,0.000000000000000E+000)
 (1.032040455327526E-011,0.000000000000000E+000)
 (0.235305562431439,0.000000000000000E+000)
 (-4.226961692416829E-012,0.000000000000000E+000)
