        (-1.74435779490774681E-004,0.0000000000000000)        (-1.07918580330712598E-003,0.0000000000000000)        (1.68747718607019392E-004,-0.0000000000000000)        (1.29527265982214428E-003,-0.0000000000000000)
        (1.07918579032444031E-003,-0.0000000000000000)        (-1.74435775579666075E-004,0.0000000000000000)        (-1.29527265472561301E-003,0.0000000000000000)        (1.68747711488241169E-004,-0.0000000000000000)
        (-1.57973088474706000E-011,0.0000000000000000)        (2.71828287026480706E-012,-0.0000000000000000)        (-3.13366974075933420E-011,0.0000000000000000)        (9.27060750904483951E-012,-0.0000000000000000)
        (-1.68747718786575794E-004,0.0000000000000000)        (-1.29527265983880803E-003,0.0000000000000000)        (1.74435782022751209E-004,-0.0000000000000000)        (1.07918579523255827E-003,-0.0000000000000000)
        (1.29527265545618573E-003,-0.0000000000000000)        (-1.68747711385745493E-004,0.0000000000000000)        (-1.07918579902882474E-003,0.0000000000000000)        (1.74435772915167245E-004,-0.0000000000000000)
        (7.36616825320984135E-012,-0.0000000000000000)        (9.00270141365520677E-011,-0.0000000000000000)        (-5.44104313113881990E-011,0.0000000000000000)        (-7.79248457482254083E-011,0.0000000000000000)
        (1.42362520430396251E-004,-0.0000000000000000)        (-3.19028915738321661E-004,0.0000000000000000)        (-1.10083436370976635E-004,0.0000000000000000)        (3.25942133148317639E-004,-0.0000000000000000)
        (-1.11793559071568689E-003,0.0000000000000000)        (-2.02340722030363115E-005,0.0000000000000000)        (1.10950774130899946E-003,-0.0000000000000000)        (3.22365908844874617E-006,-0.0000000000000000)
        (-6.58200033620531442E-004,0.0000000000000000)        (-1.59119988436758975E-004,0.0000000000000000)        (6.60672118375383991E-004,-0.0000000000000000)        (-1.29801693159780306E-004,0.0000000000000000)
        (-6.01808765578041617E-004,0.0000000000000000)        (6.88288119938609507E-004,-0.0000000000000000)        (5.96464904573266444E-004,-0.0000000000000000)        (-7.01581918693441040E-004,0.0000000000000000)
        (-1.10618562057209372E-004,0.0000000000000000)        (7.23937249750093671E-004,-0.0000000000000000)        (8.19837001294954261E-005,-0.0000000000000000)        (-7.03324713612898012E-004,0.0000000000000000)
        (4.66902107360781232E-004,-0.0000000000000000)        (-4.90457827041730914E-004,0.0000000000000000)        (-2.17924616193073897E-004,0.0000000000000000)        (6.37059541315487918E-004,-0.0000000000000000)
        (6.42638950897427052E-004,-0.0000000000000000)        (8.29100801510082304E-004,-0.0000000000000000)        (-6.46671170483660638E-004,0.0000000000000000)        (-7.99708624427084686E-004,0.0000000000000000)
        (3.01941529316662009E-005,-0.0000000000000000)        (-5.20510484025032472E-004,0.0000000000000000)        (-1.61430385873586479E-005,0.0000000000000000)        (5.39811364051221636E-004,-0.0000000000000000)
        (1.91298021815882851E-004,-0.0000000000000000)        (6.49578123992183430E-004,-0.0000000000000000)        (-4.42747555409101531E-004,0.0000000000000000)        (-5.07258166940610113E-004,0.0000000000000000)
        (1.10083426714968112E-004,-0.0000000000000000)        (-3.25942156951377531E-004,0.0000000000000000)        (-1.42362521579981316E-004,0.0000000000000000)        (3.19028912422287527E-004,-0.0000000000000000)
        (-1.10950773074245529E-003,0.0000000000000000)        (-3.22355364641771062E-006,0.0000000000000000)        (1.11793554999580977E-003,-0.0000000000000000)        (2.02339760341988442E-005,-0.0000000000000000)
        (-6.60672168191319222E-004,0.0000000000000000)        (1.29801453333949724E-004,-0.0000000000000000)        (6.58200109489471370E-004,-0.0000000000000000)        (1.59120218928880214E-004,-0.0000000000000000)
        (-5.96464910765832543E-004,0.0000000000000000)        (7.01581842578818948E-004,-0.0000000000000000)        (6.01808804103881362E-004,-0.0000000000000000)        (-6.88288033562308647E-004,0.0000000000000000)
        (-8.19837105574620218E-005,0.0000000000000000)        (7.03324643885517892E-004,-0.0000000000000000)        (1.10618582700297766E-004,-0.0000000000000000)        (-7.23937208855799101E-004,0.0000000000000000)
        (2.17924571768292769E-004,-0.0000000000000000)        (-6.37059780157515779E-004,0.0000000000000000)        (-4.66902030061985558E-004,0.0000000000000000)        (4.90458060386356545E-004,-0.0000000000000000)
        (6.46671181194605031E-004,-0.0000000000000000)        (7.99708726673551622E-004,-0.0000000000000000)        (-6.42638985492259801E-004,0.0000000000000000)        (-8.29100878594200255E-004,0.0000000000000000)
        (1.61430404272250148E-005,-0.0000000000000000)        (-5.39811392165695926E-004,0.0000000000000000)        (-3.01941271989542090E-005,0.0000000000000000)        (5.20510534203338319E-004,-0.0000000000000000)
        (4.42747509092486003E-004,-0.0000000000000000)        (5.07257925242446677E-004,-0.0000000000000000)        (-1.91297940651750063E-004,0.0000000000000000)        (-6.49577892317417362E-004,0.0000000000000000)
