               (11.906807774239667,0.0000000000000000)         (1.20258775073019036E-010,0.0000000000000000)         (9.29174971121610196E-010,0.0000000000000000)       (-1.6013696698227915,-8.66425186642390983E-018)  (-4.28937595724180091E-010,1.59729013568299432E-017) (-3.47632635805232973E-011,-4.21261075960694684E-018)       (-2.1312891271485124,-1.96548291086586720E-016)         (1.1718027321012907,6.32276975311479405E-017)        (1.5599715936293643,-8.97173379957371584E-017)      (-0.56159427250896854,-1.83449766692712581E-016)  (-5.43936806685207525E-002,4.24911693798976801E-017)   (5.04533161402256972E-002,1.92722424025991436E-017)       (-2.4083589439592412,-1.52128309293599615E-016)       (-0.80069109495027424,1.07721618332613783E-017)        (-1.6104249103264430,4.87576891990694729E-017)        (-2.1453235602928693,3.95758020502877942E-017)        (-1.2004768518464182,3.49379954492429837E-017)       (-1.5911740795469558,-3.92200074619387905E-017)       (-2.4775875726719505,-2.56365141816786749E-016)        (0.79749860341914514,3.44122133121601249E-017)         (1.6108642374919233,2.81464927656850759E-017)       (-0.58115806600710496,6.28425909333946480E-017)   (8.62599517616882833E-002,8.01954566772395412E-017) (-1.96901583528570311E-002,-2.94518090604866007E-019)
         (1.20258775073019036E-010,0.0000000000000000)               (11.906807773213654,0.0000000000000000)         (5.12249483285511994E-010,0.0000000000000000)   (4.01590416701505395E-010,1.59729013568299432E-017)        (-1.6013696697139426,3.23757857312947879E-017) (-2.92664571942852189E-010,-8.33883379983152907E-018)        (0.96065742791535902,6.32276975311479405E-017)       (-1.2695391017783713,-5.04347788698265631E-017)       (-0.95890849092765784,7.85534981935367662E-017)       (-0.26553898508447654,4.24911693798976801E-017)       (-2.8392339563148821,-1.80458509560669723E-017)        (1.8304292748381106,-7.53749763526765542E-017)        (-1.0118363992587527,1.07721618332614075E-017)      (-0.99246928549813085,-7.04732042241160333E-017)       (-0.87152078400182276,7.30814801622541693E-017)       (-0.98933132074788166,3.49379954492429837E-017)        (-1.3240559058691110,5.83646439235824725E-017)      (-0.94140101925800024,-2.37758197868229734E-017)         (1.0086441347617330,3.44122133121601002E-017)      (-0.99179189315945526,-1.20930553964984736E-016)      (-0.90729666488782201,-7.52574678057331804E-018)        (0.29740548288758911,8.01954566772395536E-017)        (-2.8882213994568469,4.80279796397827479E-017)        (1.8486976838644524,-2.83519608651033558E-017)
         (9.29173622529114653E-010,0.0000000000000000)         (5.12249146137388108E-010,0.0000000000000000)               (11.778313480176609,0.0000000000000000)  (4.44669224169174622E-011,-4.21261075960694838E-018)  (4.31882088041428710E-011,-8.33883379983153061E-018)         (2.4049440394587949,1.34437948514947905E-018)        (1.3899974026524957,-8.97173379957371584E-017)       (-0.99018235890285333,7.85534981935367662E-017)       (-2.3392382757476913,-2.85773212475985923E-017)        (0.16252437570580891,1.92722424025991405E-017)        (1.6988642414020663,-7.53749763526765419E-017)       (-2.3392382757750969,-4.60789819648733434E-018)        (-1.5525217789431416,4.87576891990694729E-017)       (-0.70868188274750177,7.30814801622541816E-017)       (-2.3392382761050245,-1.02147614353361642E-017)       (-1.4119693213314330,-3.92200074619387905E-017)       (-1.0079528120887769,-2.37758197868229642E-017)       (-2.3883998976891796,-4.44617366870136582E-017)         (1.5788974014087429,2.81464927656850636E-017)      (-0.71882489546666506,-7.52574678057331034E-018)        (-2.3883998972287475,1.88076773690795625E-017)      (-0.16692808053653091,-2.94518090604873037E-019)        (1.7267777070937431,-2.83519608651033619E-017)       (-2.3883998972524743,-1.04244323571435656E-017)
        (-1.6013696698227915,8.66425186642390983E-018)  (4.01590922423691224E-010,-1.59729013568299432E-017)   (4.44671331344948908E-011,4.21261075960694684E-018)               (11.906807675583440,0.0000000000000000)         (2.41750281048127713E-010,0.0000000000000000)         (8.19521656428727457E-010,0.0000000000000000)       (-2.1453235602168346,-3.93981249856221118E-017)       (-1.2004768517609159,-3.49209165474013845E-017)        (-1.5911740793233222,3.94577716172277108E-017)        (-2.4775875724090826,5.91518648794145931E-017)        (0.79749860340292900,1.36218627420439506E-016)         (1.6108642373050051,1.27931434133642621E-018)      (-0.58115806594288821,-6.25985666804452645E-017)  (8.62599517709125574E-002,-8.02579166984709765E-017)  (-1.96901583733056912E-002,1.64866139471103822E-019)       (-2.1312891271291194,-7.48565450231317170E-019)        (1.1718027320736044,-6.32185887745203139E-017)         (1.5599715934828080,2.94831868531044442E-017)       (-0.56159427240599724,1.83743140454475740E-016) (-5.43936807355498084E-002,-4.22985843428220869E-017)  (5.04533161077822673E-002,-1.91729768778191168E-017)        (-2.4083589436721229,1.03066525671689239E-016)      (-0.80069109496076851,-9.61602082211257390E-017)       (-1.6104249101039756,-1.82226386905585754E-017)
 (-4.28937174289186017E-010,-1.59729013568299432E-017)       (-1.6013696697139426,-3.23757857312947879E-017)   (4.31883773782048138E-011,8.33883379983152907E-018)         (2.41750955344375485E-010,0.0000000000000000)               (11.906807674760424,0.0000000000000000)         (5.19269689197808794E-010,0.0000000000000000)      (-0.98933132065651996,-3.49209165474013845E-017)       (-1.3240559056949415,-5.84125378359924830E-017)       (-0.94140101923745778,2.37333301007024339E-017)         (1.0086441345973425,1.36218627420439506E-016)       (-0.99179189297295123,1.21055923360131957E-016)       (-0.90729666489290806,5.91160703878568178E-017)       (0.29740548292186092,-8.02579166984709765E-017)       (-2.8882213993147241,-4.76856789612155225E-017)         (1.8486976838697895,2.84755808212495775E-017)       (0.96065742779508989,-6.32185887745203015E-017)        (-1.2695391016475666,5.04550633345089450E-017)      (-0.95890849098299624,-7.86019591983377582E-017)      (-0.26553898511644874,-4.22985843428220930E-017)        (-2.8392339560947062,1.81996749573451987E-017)         (1.8304292747838382,7.49830444423286932E-017)       (-1.0118363991014316,-9.61602082211257390E-017)      (-0.99246928534144707,-7.75855063624192882E-017)      (-0.87152078397537447,-2.10602386380505678E-017)
  (-3.47630528629458688E-011,4.21261075960694838E-018)  (-2.92664403368790246E-010,8.33883379983153061E-018)        (2.4049440394587949,-1.34437948514947905E-018)         (8.19522162150913285E-010,0.0000000000000000)         (5.19266317716569938E-010,0.0000000000000000)               (11.778313381829847,0.0000000000000000)        (-1.4119693212458631,3.94577716172277108E-017)        (-1.0079528119244667,2.37333301007024339E-017)        (-2.3883998974554221,4.46497935832722654E-017)         (1.5788974012649153,1.27931434133643083E-018)       (-0.71882489533375904,5.91160703878568301E-017)        (-2.3883998971154217,1.72100098654039713E-017)       (-0.16692808051532002,1.64866139471102354E-019)         (1.7267777071407588,2.84755808212495775E-017)        (-2.3883998970442697,1.13209894067492730E-017)         (1.3899974026765742,2.94831868531044503E-017)      (-0.99018235878612471,-7.86019591983377335E-017)        (-2.3392382754928538,9.98022398174677178E-018)       (0.16252437571865025,-1.91729768778191138E-017)         (1.6988642414045521,7.49830444423286932E-017)        (-2.3392382755838490,5.24811262002729128E-018)       (-1.5525217787224479,-1.82226386905585785E-017)      (-0.70868188259565656,-2.10602386380505740E-017)       (-2.3392382760022636,-8.17803634198451452E-018)
        (-2.1312891271485124,1.96548291086586720E-016)       (0.96065742791535869,-6.32276975311479405E-017)         (1.3899974026524951,8.97173379957371584E-017)        (-2.1453235602168350,3.93981249856221118E-017)       (-0.98933132065651941,3.49209165474013845E-017)       (-1.4119693212458633,-3.94577716172277108E-017)               (7.1182979607069603,0.0000000000000000)         (4.24292399980214022E-002,0.0000000000000000)         (7.27772738728957591E-002,0.0000000000000000)       (-0.97396090947575620,4.34801735951228526E-019)       (0.34073026776961152,-4.41605466077842038E-018)  (8.41030984181860980E-002,-5.70972927775800604E-019)       (-0.95555900462212739,9.73236261850671204E-019)       (-0.35135461261419693,3.66774512275744550E-018) (-6.22714383821054498E-002,-2.68188304101017848E-019)   (1.65588492051271900E-002,9.50874899120172345E-018)   (2.28539863520013237E-002,3.96632649790351856E-018)   (5.88716828690352342E-002,8.68696790833341709E-018)       (-0.48686596064828996,9.56016727009157580E-018)        (0.36926553266791945,3.36644131275885352E-021)      (-0.13081291652186774,-1.33444699300342582E-018)      (-0.44185817745601869,-1.43247724477617832E-018)      (-0.39525078842556205,-5.49823776768027205E-018)  (-6.95432990499448038E-004,4.77408856194599757E-018)
        (1.1718027321012909,-6.32276975311479405E-017)        (-1.2695391017783713,5.04347788698265631E-017)      (-0.99018235890285300,-7.85534981935367662E-017)        (-1.2004768517609159,3.49209165474013845E-017)        (-1.3240559056949415,5.84125378359924830E-017)       (-1.0079528119244667,-2.37333301007024339E-017)         (4.24292399981026983E-002,0.0000000000000000)               (4.0130654777911223,0.0000000000000000)               (2.5438198526216325,0.0000000000000000)       (0.42204877714523753,-4.41605466077842038E-018)      (-0.50903434818489834,-4.35406728656711032E-018)  (-5.41637946816862503E-002,2.80546848402195612E-018)       (-0.43267312266376229,3.66774512275744550E-018)       (-0.52743625465036414,3.03017796421522845E-018) (-7.02182080610316561E-002,-3.02836492752716273E-018)   (2.28539876812823145E-002,3.96632649790351933E-018)       (-0.31126215131407609,1.15141996686516293E-017)      (-0.60151568327496308,-2.60481756190193307E-018)        (0.34692045859387322,3.36644131275826897E-021)  (-1.33654077984429066E-002,8.96771081154661910E-019) (-7.57407058051479988E-003,-5.03011045403951862E-018)      (-0.37290571568634345,-5.49823776768026974E-018) (-5.83731918671802213E-002,-1.11401056810354759E-017)       (0.18778733761500366,-9.71300990556038773E-018)
         (1.5599715936293643,8.97173379957371584E-017)      (-0.95890849092765795,-7.85534981935367662E-017)        (-2.3392382757476908,2.85773212475985923E-017)       (-1.5911740793233224,-3.94577716172277108E-017)      (-0.94140101923745767,-2.37333301007024339E-017)       (-2.3883998974554221,-4.46497935832722654E-017)         (7.27772738728954954E-002,0.0000000000000000)               (2.5438198526216809,0.0000000000000000)               (6.0099162822428900,0.0000000000000000)  (9.19464711859110106E-002,-5.70972927775800893E-019)  (-1.88195436023190499E-002,2.80546848402195689E-018)       (0.27340330305971938,-6.06652989271229515E-019) (-8.89587714392536533E-002,-2.68188304101017414E-019) (-4.57535223139758432E-002,-3.02836492752716273E-018)        (0.27340330296406962,2.97817611906609648E-019)   (5.88716829287179305E-002,8.68696790833341555E-018)      (-0.60151568308948433,-2.60481756190193346E-018)      (-0.75516779703555392,-5.57186577274448129E-018)      (-0.16228088848302735,-1.33444699300342621E-018) (-9.44959316365454605E-002,-5.03011045403952016E-018)       (-0.53695836992759371,3.08164996608203453E-018)   (5.88471203430214820E-002,4.77408856194599757E-018)       (0.11707434393312667,-9.71300990556038773E-018)       (-0.53695836985615109,3.55324578523770491E-018)
       (-0.56159427250896843,1.83449766692712581E-016)      (-0.26553898508447643,-4.24911693798976801E-017)       (0.16252437570580880,-1.92722424025991436E-017)       (-2.4775875724090826,-5.91518648794145931E-017)        (1.0086441345973425,-1.36218627420439506E-016)        (1.5788974012649153,-1.27931434133642621E-018)      (-0.97396090947575620,-4.34801735951228526E-019)        (0.42204877714523753,4.41605466077842038E-018)   (9.19464711859110800E-002,5.70972927775800604E-019)               (4.8261183972637403,0.0000000000000000)              (-1.3658197277649475,0.0000000000000000)              (-2.2394012514561412,0.0000000000000000)       (-0.29497297327144950,7.57271518528473448E-018)  (-3.00349094903135834E-002,7.14377052581658056E-019)   (4.85567297528949251E-003,1.55492523550616278E-018)       (-0.48686596155534773,1.87729390303984013E-017)       (0.34692045935982135,-5.35843552228315383E-018)       (-0.16228088833600879,4.34170699970581442E-018)       (-0.20951476780611528,5.07297055860634600E-018)       (-0.15337765129026293,7.59592143680303022E-018)        (0.49149202098315914,2.63942595807665165E-018)        (0.17837708515395326,3.93671315097221682E-018)  (3.71577929631884268E-002,-7.45886394231926588E-018)  (7.19657958492036232E-002,-6.55446724833740040E-018)
