         (1.80072684009488955E-005,0.0000000000000000)        (-6.64301093981426165E-005,0.0000000000000000)         (4.55736512385126612E-004,0.0000000000000000)        (-4.13504503313994571E-004,0.0000000000000000)
         (6.64301069637867719E-005,0.0000000000000000)         (1.80072655902544727E-005,0.0000000000000000)         (4.13504499665522205E-004,0.0000000000000000)         (4.55736509802308701E-004,0.0000000000000000)
         (3.65976234558179212E-011,0.0000000000000000)        (-4.12476924596370262E-011,0.0000000000000000)        (-2.02839926253863081E-012,0.0000000000000000)         (5.73877385919290194E-011,0.0000000000000000)
        (-4.55736509432744133E-004,0.0000000000000000)         (4.13504503811645374E-004,0.0000000000000000)        (-1.80072655429495765E-005,0.0000000000000000)         (6.64301101435307970E-005,0.0000000000000000)
        (-4.13504499072993195E-004,0.0000000000000000)        (-4.55736511993730820E-004,0.0000000000000000)        (-6.64301061493282046E-005,0.0000000000000000)        (-1.80072682921596701E-005,0.0000000000000000)
         (2.01957454090248006E-011,0.0000000000000000)         (1.83653550643613700E-011,0.0000000000000000)        (-1.02942860516672535E-011,0.0000000000000000)        (-3.55784748132531911E-011,0.0000000000000000)
        (-3.08075010073537376E-004,0.0000000000000000)         (4.30319833751768768E-004,0.0000000000000000)         (3.84852315628318926E-004,0.0000000000000000)         (6.55318372706416622E-004,0.0000000000000000)
        (-1.02710936998031831E-003,0.0000000000000000)         (4.28892661318092301E-004,0.0000000000000000)        (-1.02989004673683412E-003,0.0000000000000000)        (-6.32647420581248718E-004,0.0000000000000000)
         (3.27431381449602038E-004,0.0000000000000000)         (1.19076667605387283E-003,0.0000000000000000)         (9.78062971062583562E-005,0.0000000000000000)        (-1.27277688719470397E-003,0.0000000000000000)
        (-1.37664747442826313E-005,0.0000000000000000)         (1.19702849354095522E-003,0.0000000000000000)        (-5.40467432495108507E-004,0.0000000000000000)         (4.95655755297524513E-004,0.0000000000000000)
        (-2.60402546378131613E-004,0.0000000000000000)         (1.34583828163819256E-004,0.0000000000000000)        (-1.18955099246031482E-003,0.0000000000000000)         (2.92672452643473328E-004,0.0000000000000000)
        (-1.19494887974789729E-003,0.0000000000000000)        (-3.11819290175371650E-004,0.0000000000000000)         (1.05335429268371239E-003,0.0000000000000000)         (7.21091999185823258E-004,0.0000000000000000)
         (5.03068536082082875E-004,0.0000000000000000)         (5.58796986061130068E-004,0.0000000000000000)        (-2.16078171303639026E-004,0.0000000000000000)         (1.37683719388745330E-003,0.0000000000000000)
        (-8.98633394403158814E-004,0.0000000000000000)        (-3.82249439104399629E-004,0.0000000000000000)        (-3.08370282624094406E-004,0.0000000000000000)        (-3.17183212726175287E-005,0.0000000000000000)
         (8.67518870209304203E-004,0.0000000000000000)        (-8.78946283562301810E-004,0.0000000000000000)        (-1.15116080979863703E-003,0.0000000000000000)         (5.51686397966354657E-004,0.0000000000000000)
        (-3.84852862810439015E-004,0.0000000000000000)        (-6.55318212044182671E-004,0.0000000000000000)         (3.08074427367610246E-004,0.0000000000000000)        (-4.30319697975646109E-004,0.0000000000000000)
         (1.02988970065985932E-003,0.0000000000000000)         (6.32647534128266643E-004,0.0000000000000000)         (1.02710971579271222E-003,0.0000000000000000)        (-4.28892733193836698E-004,0.0000000000000000)
        (-9.78068484053572034E-005,0.0000000000000000)         (1.27277703011246363E-003,0.0000000000000000)        (-3.27430846016284020E-004,0.0000000000000000)        (-1.19076682191632732E-003,0.0000000000000000)
         (5.40468003643062959E-004,0.0000000000000000)        (-4.95655933876084872E-004,0.0000000000000000)         (1.37664653300061288E-005,0.0000000000000000)        (-1.19702849904980316E-003,0.0000000000000000)
         (1.18955069055340021E-003,0.0000000000000000)        (-2.92672367951656129E-004,0.0000000000000000)         (2.60401870527360703E-004,0.0000000000000000)        (-1.34583674661855159E-004,0.0000000000000000)
        (-1.05335484489252904E-003,0.0000000000000000)        (-7.21091852792250104E-004,0.0000000000000000)         (1.19494941440700247E-003,0.0000000000000000)         (3.11819145868684770E-004,0.0000000000000000)
         (2.16078144340176693E-004,0.0000000000000000)        (-1.37683717694144512E-003,0.0000000000000000)        (-5.03067946651163003E-004,0.0000000000000000)        (-5.58797116524893558E-004,0.0000000000000000)
         (3.08370927497589396E-004,0.0000000000000000)         (3.17181252342683327E-005,0.0000000000000000)         (8.98633726239658824E-004,0.0000000000000000)         (3.82249359659420009E-004,0.0000000000000000)
         (1.15116025881177868E-003,0.0000000000000000)        (-5.51686252188380872E-004,0.0000000000000000)        (-8.67518335001973167E-004,0.0000000000000000)         (8.78946141300196502E-004,0.0000000000000000)
